word,occurences
dc,335
designed,535
beacon,20
hill,331
jean,181
vander,3
pyl,3
wilma,7
cartoon,204
mrs,324
feldspar,7
hollow,69
holds,366
bulb,68
super,272
class,365
stars,506
includes,700
antares,7
betelgeuse,8
triangular,54
miles,1232
off,1735
southeast,110
coast,500
massachusetts,340
1990s,108
moved,478
government,606
different,407
dallasfort,2
worth,184
architect,161
gyo,1
obata,1
helped,742
design,237
smithsonian,74
museum,1256
containing,106
feel,270
love,1572
tonight,160
animated,268
feature,372
based,1308
existing,34
story,1103
flower,430
category,222
ph,23
scale,172
indicates,152
solution,56
exodus,94
down,1559
before,2907
pharaoh,55
moses,154
instruction,27
mediterranean,199
skidmore,1
secret,326
atomic,209
tennessee,243
town,1007
martin,338
scorsese,23
audience,81
wants,154
money,499
people,2218
what,2178
need,555
hollywood,242
species,736
bears,312
alaska,174
kodiak,6
grizzly,26
black,1219
nikes,10
stock,212
player,535
retirement,63
euripides,12
famed,193
beauty,234
double,276
troy,99
1996,914
travolta,45
spread,172
archangel,18
porfirio,2
diaz,21
seized,53
power,644
1876,138
ruled,312
35,140
fled,105
1911,123
exile,101
fluid,101
sign,439
knowles,6
pulling,44
81648,1
annum,2
job,550
ronaldo,1
luiz,2
nazario,1
de,1153
lima,41
brazils,24
team,1067
age,965
shaw,90
caesar,155
finds,128
hiding,42
sphinx,21
iii,303
lost,810
angels,149
golden,468
evertuned,1
1462,3
printer,37
movable,15
move,350
mainz,7
style,649
1877,95
painting,467
secondlargest,122
alaskan,58
wasnt,479
actor,950
vladimir,22
samsonov,1
touted,9
hope,348
1952,281
covered,269
1998,757
cate,10
blanchett,9
abba,15
curtis,51
lee,335
pretty,195
exiled,41
manslaughter,9
eric,121
red,1243
forced,142
981,2
arabic,132
names,638
saud,13
mottos,1
featured,646
regular,181
license,66
plates,75
times,1183
estimates,10
chess,120
taking,267
mil,58
check,180
mate,129
hayes,52
reigned,68
517,1
broadway,499
performances,49
feast,127
sliwa,1
bengurion,12
1915,160
empire,402
zionists,1
palestine,23
overhang,1
likely,112
happen,84
any,1042
moment,95
mainland,134
peninsula,368
closest,131
russia,308
zealandborn,3
jonah,15
lamu,1
tops,72
pitch,98
marlowes,7
ii,764
appropriatesounding,1
dye,41
angel,187
touched,51
moshoeshoe,1
twice,327
regaining,1
southern,627
countrys,1135
throne,239
1995,687
